Age,Height,Weight,Sport,
29,208,110,1,
22,192,89,0,
23,201,102,0,
19,190,84,0,
28,175,75,0,
20,202,90,0,
15,173,65,0,
18,175,65,0,
24,205,110,0,
19,185,75,0,
25,175,75,0,
20,185,80,0,
15,165,60,0,
25,183,73,0,
23,182,87,0,
27,174,74,0,
22,187,68,0,
32,212,102,1,
26,181,80,0,
28,203,104,1,
23,202,97,1,
32,212,115,1,
22,178,80,0,
17,188,79,0,
18,179,70,0,
19,190,82,0,
21,168,60,0,
21,180,73,0,
27,211,125,1,
22,183,79,0,
23,186,80,0,
19,208,100,1,
26,200,93,1,
24,188,90,0,
22,174,69,0,
21,186,80,0,
28,195,84,0,
29,194,85,1,
28,205,97,1,
29,190,98,0,
24,184,79,0,
23,203,96,1,
19,180,73,0,
25,208,115,1,
22,180,75,0,
23,185,76,0,
23,204,102,1,
18,183,76,0,
24,188,93,0,
29,196,90,0,
20,190,81,0,
19,182,80,0,
23,186,87,0,
25,195,95,0,
23,176,69,0,
19,183,73,0,
26,211,114,1,
19,186,80,0,
27,191,86,1,
17,183,73,0,
24,190,90,0,
28,180,77,0,
20,184,69,0,
29,196,86,0,
25,187,82,0,
20,186,73,0,
23,196,95,0,
33,198,93,1,
26,185,80,0,
24,183,88,0,
29,189,82,0,
28,193,86,0,
30,191,90,1,
22,185,83,0,
21,179,88,1,
22,186,80,0,
30,184,75,0,
24,181,73,0,
21,175,73,0,
25,192,86,1,
28,197,93,0,
25,183,77,0,
29,216,109,1,
20,183,83,0,
23,188,80,1,
23,192,88,0,
26,182,76,0,
30,186,79,0,
20,184,77,0,
21,179,73,0,
30,180,78,0,
19,177,73,0,
22,181,74,0,
28,186,83,0,
20,193,85,0,
23,210,109,1,
23,185,84,0,
23,207,107,1,
31,177,66,0,
23,192,80,0,
22,174,70,0,
22,189,89,0,
32,193,88,1,
23,179,81,0,
18,184,76,0,
21,194,88,0,
26,190,84,0,
27,200,85,0,
24,191,84,0,
24,177,72,0,
25,182,76,0,
21,190,84,0,
20,181,75,0,
22,180,75,0,
25,195,89,1,
21,191,89,1,
27,203,104,1,
17,184,79,0,
27,189,78,0,
22,185,75,0,
26,188,83,0,
30,203,120,1,
29,200,103,1,
27,195,83,0,
22,190,81,0,
22,204,100,1,
19,192,78,0,
22,190,80,0,
30,191,87,0,
20,185,84,0,
23,206,104,1,
23,196,88,0,
24,202,105,0,
24,179,74,0,
27,190,84,0,
23,193,83,0,
21,189,85,0,
19,194,83,0,
22,190,86,1,
21,191,75,0,
21,173,75,0,
25,189,84,1,
18,180,89,0,
24,171,64,0,
20,180,82,0,
